,Unnamed: 0,golf_name,before_name,핫딜,단독,num,classify01,hole_size,region,address,homepages,phone_num,green_fee(주중),green_fee(토요일),green_fee(일요일),green_fee(공휴일),cart_fee,caddie_fee
98,98,마우나오션,,,,384,회원제,18,경북,경상북도 경주시 양남면 동남로 982 마우나오션CC,http://www.mauna.co.kr/,054-740-0678,165000,190000,190000,190000,90000,1~2부 130000/3부 140000
99,99,몽베르,,,,311,회원제,36,경기,경기도 포천시 영북면 산정리 558 - 1,http://www.montvertcc.com/,031-531-1100,남170000 북190000,남230000 북250000,남230000 북250000,남230000 북250000,90000원,140000원
100,100,무안클린밸리,,,,774,대중제,18,전남,전라남도 무안군 청계면 태봉길 33-100번지 클린밸리,http://www.muancleanvalley.com/,061-452-3100,월별 상이,월별 상이,월별 상이,월별 상이,80000,130000
101,101,문경,,,,957,대중제,18,경북,경상북도 문경시 마성면 문경골프장길 240,http://www.mgle.co.kr/,054-550-5000,월별상이,월별상이,월별상이,월별상이,80000,130000
102,102,밀양 노벨,,,,1081,대중제,18,경남,경남 밀양시 단장면 안법리 산15번지,http://www.miryangnobelcc.co.kr/Miryang_nobel/html/company/company_05.asp#,055-359-8500,130000,170000,170000,170000,90000,130000(3부 140000)
103,103,발리오스,,,,390,회원제,18,경기,경기도 화성시 팔탄면 화당리 116번지,http://www.baliosgc.com/index.asp,031-352-5061,210000,270000,270000,270000,100000,140000
104,104,백제,,1,1,444,대중제,27,충남,충청남도 부여군 은산면 충절로 3734-82,http://www.baekjecc.com/,041-830-0700,150000,190000,180000,190000,80000,140000
107,107,벨라스톤,,1,1,206,대중제,18,강원,강원도 횡성군 서원면 옥계9길 124,http://www.bellastonecc.com/,033-340-9000,180000,240000,230000,240000,100000/노캐디시 120000,140000/ 마샬캐디 90000
110,110,보라,,,,642,회원제,27,경남,울산광역시 울주군 삼동면 삼동로 404,http://www.boracc.com/,052-255-1004,180000,230000,230000,230000,90000,130000
111,111,보령베이스(P9),,,,1370,대중제,9,충남,충남 보령시 옥마벚길 10(명천동),http://www.boryeongbase.co.kr/,041-939-3800,109000,159000,159000,159000,80000,140000
112,112,보문,,,,168,대중제,18,경북,경상북도 경주시 보문로 182-14번지,http://golf.gtc.co.kr/,054-745-1680,월별상이,월별상이,월별상이,월별상이,80000,130000
113,113,보성,,,,394,대중제,18,전남,전라남도 보성군 조성3길 338,http://www.bosungcc.co.kr/,061-804-1000,130000,170000,170000,170000,90000,130000
114,114,부곡,,,,651,회원제,18,경남,경상남도 창녕군 부곡면 온천로 445,http://www.bkcc.co.kr/,055-520-5000,150000,180000,180000,180000,90000,130000(3부 140000)
115,115,블랙스톤 벨포레,,1,,1131,대중제,18,충북,충청북도 증평군 도안면 벨포레길 346,http://www.blackstonebelleforet.com/,043-926-1001,월별상이,월별상이,월별상이,월별상이,100000,140000
117,117,블랙스톤제주,,,,1181,회원제,27,제주,제주특별자치도 제주시 한림읍 한창로 925-122,http://www.blackstoneresort.com/jj/,064-796-9988,220000,290000,290000,290000,100000,150000
118,118,블루원디아너스,,,,170,회원제,27,경북,경상북도 경주시 보불로 391,http://gj.blueone.com/index.jsp?,054-777-6601,월별상이,월별상이,월별상이,월별상이,90000,130000
119,119,블루원상주,,,,508,대중제,18,경북,경상북도 상주시 모서면 화현3길 127,http://sj.blueone.com/,054-530-8888,1500000,200000,200000,200000,90000,130000
121,121,블루원용인,,,,122,회원제,18,경기,경기도 용인시 처인구 원삼면 보개원삼로1534번길 40 ClubHouse,http://yi.blueone.com/,031-330-9700,월별상이,월별상이,월별상이,월별상이,90000,150000
122,122,블루헤런,,,,101,회원제,18,경기,경기도 여주시 대신면 고달사로 67,http://www.blueheron.co.kr/,031-880-0700,200000,270000,270000,270000,90000,130000/4월25일부터 150000원
123,123,비에이비스타,,,,981,"대중제,",36,경기,경기도 이천시 모가면 어농로 272,http://www.bavista.co.kr/,031-636-3577,220000,280000,270000,280000,100000,1-2부 140000(7/1부터 150000) 3부 150000
125,125,비콘힐스,,,,462,대중제,18,강원,강원도 홍천군 홍천읍 높은터로 533,http://www.beaconhills.co.kr/,033-439-5114,170000,240000,240000,240000,100000,140000
126,126,빅토리아(P9),,,,335,대중제,9,경기,경기도 여주시 가남읍 송림리 214,http://www.victoriagc.co.kr/,031-883-0111,월별상이,월별상이,월별상이,월별상이,90000,노캐디
127,127,사우스링스 영암,,,,149,대중제,18,전남,전라남도 영암군 삼호읍 에프원로 121-1,http://www.southlinks.co.kr/,061-460-6000,월별 상이,월별 상이,월별 상이,월별 상이,1인당 20000원,노캐디
128,128,사우스스프링스,,1,,396,대중제,18,경기,경기도 이천시 모가면 공원로 64,http://www.sscc.co.kr/,031-630-7000,월별상이,월별상이,월별상이,월별상이,100000,140000
130,130,샤인데일,,,,895,대중제,27,강원,강원도 홍천군 서면 동막리 산77번지,http://www.shinedale.com/,033-432-1111,월별 상이,월별 상이,월별 상이,월별 상이,100000,140000(3부 150000)
131,131,샴발라,,,1,284,대중제,18,경기,경기도 포천시 군내면 청군로 2856-93,http://www.shambhalacc.co.kr/,031-538-0500,210000,270000,270000,270000,100000,140000(특급캐디180000원)
133,133,서산수 단독,,,1,1006,대중제,18,충남,충청남도 서산시 대산읍 삼길포7로 6,http://seosansoo.com/,041-689-7700,월별 상이,월별 상이,월별 상이,월별 상이,90000,130000
134,134,서서울,,,,365,회원제,18,경기,경기도 파주시 광탄면 혜음로 324,http://www.seoseoul.co.kr/,02-6437-7000,200000,270000,270000,270000,100000,140000(3부 150000)
136,136,서원힐스,,1,1,1196,대중제,27,경기,경기도 파주시 광탄면 서원길 333,http://www.seowongolf.co.kr/,031-940-9400,월별상이,월별상이,월별상이,월별상이,90000,140000
139,139,석정힐,,,,152,대중제,18,전북,전라북도 고창군 고창읍 석정2로 192,http://www.hillcc.com/,063-560-7000,월별상이,월별상이,월별상이,월별상이,80000,140000
140,140,세레니티,실크리버,,,463,회원제,18,충북,충청북도 청주시 서원구 남이면 문곡구절골길235,http://www.serenitycc.co.kr/,043-277-5000,200000,250000,250000,250000,100000,150000
141,141,세븐밸리,,,1,893,대중제,18,경북,경상북도 칠곡군 왜관읍 봉계3길 180,http://www.sevenvalley.co.kr/,054-979-1000,150000,190000,190,190000,90000,130000
143,143,세이지우드 여수경도,,,,227,대중제,27,전남,전라남도 여수시 대경도길 111,http://www.yeosucc.co.kr/,061-660-1000,220000(금요일 2부 250000),280000,250000280000(2부 250000),280000,120000,130000
144,144,세이지우드 홍천,,,,921,대중제,27,강원,강원도 홍천군 광석로 898-160,http://www.sagewood.co.kr/hongcheon/golf,033-439-1000,월별상이,월별상이,월별상이,,120000,150000
145,145,세인트포(단독),,,,1357,대중제,36,제주,제주특별자치도 제주시 구좌읍 선유로 445-55,http://www.stfour.com/index.asp,064-786-3838,130000,170000,170000,170000,90000,130000
146,146,세일,,,,236,대중제,18,충북,충북 충주시 신니면 동락길 207번지,http://www.seilcc.co.kr/,043-841-6000,119000,169000,159000,169000,80000,120000
147,147,세현,,,,1300,대중제,18,경기,경기 용인시 처인구 이동읍 서리 70-3,http://www.sehyeoncc.com/,031-670-8800,월별상이,월별상이,월별상이,월별상이,100000,1-2부 140000 3부 150000
148,148,센추리21,,1,1,203,회원제,36,강원,강원도 원주시 문막읍 궁말길 193,http://www.century21cc.co.kr/,033-733-1000,190000,240000,240000,240000,100000,1~2부 140000/3부 150000
153,153,센테리움,,,,810,대중제,27,충북,충청북도 충주시 노은면 신효리 627-3번지,http://www.centeriumcc.com/,02-3468-7600,월별상이,월별상이,월별상이,월별상이,100000,140000
155,155,소피아그린,,,,435,대중제,27,경기,경기도 여주시 점동면 소피아그린길 84,http://www.sophiagreen.co.kr/,031-887-8100,월별 상이,월별 상이,월별 상이,월별 상이,90000,150000
156,156,솔라고,,,1,286,대중제,36,충남,충청남도 태안군 태안읍 송암리 1532-3,http://sollago.co.kr/,041-670-8888,160000,200000,200000,200000,90000,경력캐디14만 레드캐디11만/3부 드라이빙캐디9만
158,158,솔라시도,,,,1491,대중제,18,전남,전라남도 해남군 산이면 구성리 88-1,http://www.solaseadocc.com/main/main.asp,061-530-9500,월별 상이,월별 상이,월별 상이,월별 상이,100000,130000
159,159,솔모로,,1,1,440,회원제,36,경기,경기도 여주시 가남읍 솔모로그린길 171번지,http://www.solmoro.com/,031-880-7114,월별상이,월별상이,월별상이,월별상이,90000,150000
163,163,솔트베이,,1,,480,대중제,18,경기,경기도 시흥시 마유로 987,http://www.saltbay.co.kr/,031-400-0000,월별상이,월별상이,월별상이,월별상이,90000,140000
165,165,수원,,,,455,회원제,36,경기,경기도 용인시 기흥구 중부대로 495,http://www.suwoncc.co.kr/,031-288-6611,200000,260000,260000,260000,100000,130000
166,166,스마트KU,,,1,814,대중제,27,경기,경기도 파주시 법원읍 보광로 1616,http://kugolf.co.kr/,031-930-1623,월별 상이,월별 상이,월별 상이,월별 상이,80000,140000
168,168,스카이밸리,,1,1,107,회원제,36,경기,경기도 여주시 북내면 운촌길 254번지,http://www.skyvalley.co.kr/,031-880-8811,200000,270000,270000,270000,100000,150000
171,171,스톤게이트,,1,,1001,대중제,18,경남,부산광역시 기장군 일광면 곡천길 317,http://www.stonegatecc.co.kr/,051-722-7000,180000,220000,220000,220000,90000,1~2부-130000원 3부-140000원
173,173,스톤비치,,,,363,회원제,18,충남,충청남도 태안군 근흥면 갈음이길 77,http://stonebeach-cc.com/,041-670-7000,월별상이,월별상이,월별상이,월별상이,100000,140000
174,174,시그너스,,,1,305,회원제,27,충북,충청북도 충주시 양성면 중방곡길 57-44,http://www.cygnuscc.com/,043-857-5001,170000,230000,230000,230000,90000,150000
176,176,시티파크,,,,952,대중제,18,전남,전라남도 여수시 좌수영로 641,http://www.citypark.co.kr/,061-808-8000,100000원(3부:110000원),140000,140000,140000,90000,130000
177,177,신안,,1,,456,회원제,18,경기,경기도 안성시 고삼면 개울말길 149,http://www.shinangolf.com/,02-3467-0998,월별상이,월별상이,월별상이,월별상이,100000,150000(3부 160000)
180,180,써닝포인트,,,,140,대중제,18,경기,경기도 용인시 처인구 백암면 고안로 51번길 205,http://www.sunningpoint.com/,031-329-0800,195000,285000,285000,285000,90000,150000(7/1 부터 3부 160000)
181,181,썬힐,,,,112,대중제,36,경기,경기도 가평군 조종면 운악청계로 809 썬힐골프클럽,http://www.sunhillgolf.co.kr/,031-585-7900,월별상이,월별상이,월별상이,월별상이,90000,140000
182,182,아난티 중앙 골프클럽,진천 에머슨,1,1,145,회원제,27,충북,충청북도 진천군 백곡면 배티로 818-105,http://joongang.ananti.kr/kr/,043-533-6783,180000,240000,240000,240000,90000,140000
185,185,아델스코트,,,,382,대중제,27,경남,경상남도 합천군 가야면 가조가야로 1916-10,http://www.adelscott.co.kr/,055-930-7777,150000,180000,180000,180000,80000,130000
186,186,아리스타,,,,1156,대중제,18,충남,충남 논산시 연무읍 연무로 810,http://www.aristacc.co.kr/,041-741-0100,월별상이,월별상이,월별상이,월별상이,80000,130000
187,187,아리지,,,,366,대중제,27,경기,경기도 여주시 가남읍 아리지그린길 68,http://www.ariji.co.kr/,031-887-5678,월별상이,월별상이,월별상이,월별상이,90000,150000
188,188,아세코밸리(P9),,,,257,대중제,9,경기,경기도 시흥시 마전로 307,http://www.asecovalley.com/,031-488-8000,60000,70000,70000,70000,45000,140000
189,189,아시아나,,,,464,회원제,36,경기,경기도 용인시 처인구 양지면 양대로 290,http://www.asianacc.co.kr/,031-330-1111,210000,270000,270000,270000,100000,140000
190,190,아일랜드,,1,1,222,대중제,27,경기,경기도 안산시 단원구 대부남동 1369,http://www.islandresort.co.kr/,032-884-1004,250000,290000,290000,290000,100000,150000
194,194,아트밸리,,,,139,회원제,27,충북,충청북도 진천군 진천읍 송강로 783-51,http://www.artvalleycc.net/,043-531-3000,156000,199000,199000,199000,90000,120000
195,195,안동레이크,,,,795,대중제,18,경북,경상북도 안동시 관광단지로 316,http://hugreen.gtc.co.kr/,054-821-9191,월별상이,월별상이,월별상이,월별상이,80000,130000
196,196,안성,,,,603,회원제,18,경기,경기도 안성시 죽산면 장계길 134,http://www.ansungcc.co.kr/,031-674-9121,220000,280000,280000,280000,90000,130000/6월6일부터 15만
201,202,알펜시아,,,,157,회원제,27,강원,강원도 평창군 대관령면 용산리 406-13,http://www.alpensiaresort.co.kr/index.gdc?varIntro=pass,033-335-7500,월별상이,월별상이,월별상이,월별상이,100000,130000
202,203,알프스대영,,,,414,대중제,18,강원,강원도 횡성군 우천면 한우로 1295,http://www.alpsdy.com/main/,033-340-8000,109000~,169000~,169000~,169000~,100000,140000 / 5인 210000/3부 150000
203,204,애플밸리(P9),,,,493,대중제,9,경북,경상북도 김천시 어모면 작점로 606,http://applevalley.co.kr/,054-429-0700,월별상이,월별상이,월별상이,월별상이,90000,130000
204,205,양산,,1,,650,대중제,27,경남,경상남도 양산시 상북면 충렬로 687,http://www.yangsancc.co.kr/,055-379-0000,140000,180000,180000,180000,80000,130000
206,207,양산동원로얄,,,,786,대중제,18,경남,경상남도 양산시 어실로 380-45(어곡동 산283),http://www.dongwonroyalcc.co.kr/index.asp,055-389-7000,160000,190000,190000,190000,80000,130000
